date,county,cases,fips,new_cases,population,per_100k
2020-03-15,allegany,0,24001,NA,71977,0
2020-03-15,anne_arundel,2,24003,NA,567696,3.5230123164510584e-6
2020-03-15,baltimore,3,24005,NA,827625,3.6248300860897144e-6
2020-03-15,baltimore_city,1,24510,NA,614700,1.6268098259313487e-6
2020-03-15,calvert,0,24009,NA,91082,0
2020-03-15,caroline,0,24011,NA,32875,0
2020-03-15,carroll,1,24013,NA,167522,5.96936521770275e-6
2020-03-15,cecil,0,24015,NA,102517,0
2020-03-15,charles,1,24017,NA,157671,6.342320401342035e-6
2020-03-15,dorchester,0,24019,NA,32261,0
2020-03-15,frederick,0,24021,NA,248472,0
2020-03-15,garrett,0,24023,NA,29376,0
2020-03-15,harford,2,24025,NA,251025,7.967333930883377e-6
2020-03-15,howard,0,24027,NA,315327,0
2020-03-15,kent,0,24029,NA,19593,0
2020-03-15,montgomery,12,24031,NA,1040133,1.1536986135426912e-5
2020-03-15,prince_georges,9,24033,NA,906202,9.931560512998205e-6
2020-03-15,queen_annes,0,24035,NA,49355,0
2020-03-15,somerset,0,24039,NA,25737,0
2020-03-15,st_marys,0,24037,NA,111531,0
2020-03-15,talbot,0,24041,NA,37211,0
2020-03-15,washington,0,24043,NA,149811,0
2020-03-15,wicomico,0,24045,NA,102172,0
2020-03-15,worcester,0,24047,NA,51564,0
2020-03-16,allegany,0,24001,0,71977,0
2020-03-16,anne_arundel,1,24003,0,567696,1.7615061582255292e-6
2020-03-16,baltimore,4,24005,1,827625,4.833106781452953e-6
2020-03-16,baltimore_city,1,24510,0,614700,1.6268098259313487e-6
2020-03-16,calvert,0,24009,0,91082,0
2020-03-16,caroline,0,24011,0,32875,0
2020-03-16,carroll,1,24013,0,167522,5.96936521770275e-6
2020-03-16,cecil,0,24015,0,102517,0
2020-03-16,charles,1,24017,0,157671,6.342320401342035e-6
2020-03-16,dorchester,0,24019,0,32261,0
2020-03-16,frederick,0,24021,0,248472,0
2020-03-16,garrett,0,24023,0,29376,0
2020-03-16,harford,2,24025,0,251025,7.967333930883377e-6
2020-03-16,howard,1,24027,1,315327,3.171311051701884e-6
2020-03-16,kent,0,24029,0,19593,0
2020-03-16,montgomery,10,24031,0,1040133,9.61415511285576e-6
2020-03-16,prince_georges,15,24033,6,906202,1.655260085499701e-5
2020-03-16,queen_annes,0,24035,0,49355,0
2020-03-16,somerset,0,24039,0,25737,0
2020-03-16,st_marys,0,24037,0,111531,0
2020-03-16,talbot,1,24041,1,37211,2.687377388406654e-5
2020-03-16,washington,0,24043,0,149811,0
2020-03-16,wicomico,0,24045,0,102172,0
2020-03-16,worcester,0,24047,0,51564,0
2020-03-17,allegany,0,24001,0,71977,0
2020-03-17,anne_arundel,3,24003,2,567696,5.284518474676588e-6
2020-03-17,baltimore,6,24005,2,827625,7.249660172179429e-6
2020-03-17,baltimore_city,1,24510,0,614700,1.6268098259313487e-6
2020-03-17,calvert,0,24009,0,91082,0
2020-03-17,caroline,0,24011,0,32875,0
2020-03-17,carroll,1,24013,0,167522,5.96936521770275e-6
2020-03-17,cecil,0,24015,0,102517,0
2020-03-17,charles,1,24017,0,157671,6.342320401342035e-6
2020-03-17,dorchester,0,24019,0,32261,0
2020-03-17,frederick,1,24021,1,248472,4.0245983450851605e-6
2020-03-17,garrett,0,24023,0,29376,0
2020-03-17,harford,2,24025,0,251025,7.967333930883377e-6
2020-03-17,howard,3,24027,2,315327,9.513933155105652e-6
2020-03-17,kent,0,24029,0,19593,0
