date,county,prob_deaths,fips,new_prob_deaths
2020-04-13,allegany,0,24001,NA
2020-04-13,anne_arundel,0,24003,NA
2020-04-13,baltimore,0,24005,NA
2020-04-13,baltimore_city,0,24510,NA
2020-04-13,calvert,0,24009,NA
2020-04-13,caroline,0,24011,NA
2020-04-13,carroll,0,24013,NA
2020-04-13,cecil,0,24015,NA
2020-04-13,charles,0,24017,NA
2020-04-13,dorchester,0,24019,NA
2020-04-13,frederick,0,24021,NA
2020-04-13,garrett,0,24023,NA
2020-04-13,harford,0,24025,NA
2020-04-13,howard,0,24027,NA
2020-04-13,kent,0,24029,NA
2020-04-13,montgomery,0,24031,NA
2020-04-13,prince_georges,0,24033,NA
2020-04-13,queen_annes,0,24035,NA
2020-04-13,somerset,0,24039,NA
2020-04-13,st_marys,0,24037,NA
2020-04-13,talbot,0,24041,NA
2020-04-13,washington,0,24043,NA
2020-04-13,wicomico,0,24045,NA
2020-04-13,worcester,0,24047,NA
2020-04-13,unknown,0,NA,NA
2020-04-14,allegany,0,24001,0
2020-04-14,anne_arundel,0,24003,0
2020-04-14,baltimore,0,24005,0
2020-04-14,baltimore_city,0,24510,0
2020-04-14,calvert,0,24009,0
2020-04-14,caroline,0,24011,0
2020-04-14,carroll,0,24013,0
2020-04-14,cecil,0,24015,0
2020-04-14,charles,0,24017,0
2020-04-14,dorchester,0,24019,0
2020-04-14,frederick,0,24021,0
2020-04-14,garrett,0,24023,0
2020-04-14,harford,0,24025,0
2020-04-14,howard,0,24027,0
2020-04-14,kent,0,24029,0
2020-04-14,montgomery,0,24031,0
2020-04-14,prince_georges,0,24033,0
2020-04-14,queen_annes,0,24035,0
2020-04-14,somerset,0,24039,0
2020-04-14,st_marys,0,24037,0
2020-04-14,talbot,0,24041,0
2020-04-14,washington,0,24043,0
2020-04-14,wicomico,0,24045,0
2020-04-14,worcester,0,24047,0
2020-04-14,unknown,0,NA,0
2020-04-15,allegany,0,24001,0
2020-04-15,anne_arundel,5,24003,5
2020-04-15,baltimore,5,24005,5
2020-04-15,baltimore_city,2,24510,2
2020-04-15,calvert,0,24009,0
2020-04-15,caroline,0,24011,0
2020-04-15,carroll,2,24013,2
2020-04-15,cecil,0,24015,0
2020-04-15,charles,0,24017,0
2020-04-15,dorchester,0,24019,0
2020-04-15,frederick,7,24021,7
2020-04-15,garrett,0,24023,0
2020-04-15,harford,3,24025,3
2020-04-15,howard,1,24027,1
2020-04-15,kent,0,24029,0
2020-04-15,montgomery,14,24031,14
2020-04-15,prince_georges,11,24033,11
2020-04-15,queen_annes,0,24035,0
2020-04-15,somerset,0,24039,0
2020-04-15,st_marys,0,24037,0
2020-04-15,talbot,0,24041,0
2020-04-15,washington,0,24043,0
2020-04-15,wicomico,0,24045,0
2020-04-15,worcester,0,24047,0
2020-04-15,unknown,14,NA,14
2020-04-16,allegany,0,24001,0
2020-04-16,anne_arundel,6,24003,1
2020-04-16,baltimore,6,24005,1
2020-04-16,baltimore_city,4,24510,2
2020-04-16,calvert,0,24009,0
2020-04-16,caroline,0,24011,0
2020-04-16,carroll,2,24013,0
2020-04-16,cecil,0,24015,0
2020-04-16,charles,0,24017,0
2020-04-16,dorchester,0,24019,0
2020-04-16,frederick,7,24021,0
