county,first_dose,second_dose,percent_first_dose,percent_second_dose,single_dose,fully_vaccinated,percent_fully_vaccinated,percent_single_dose
Allegany,13628,8843,19.354,12.558,398,9241,13.123,0.565
Anne Arundel,120606,64418,20.822,11.121,6555,70973,12.253,1.132
Baltimore,191310,108037,23.123,13.058,7177,115214,13.925,0.867
Baltimore City,107334,57654,18.085,9.714,3665,61319,10.332,0.618
Calvert,19971,11694,21.584,12.639,458,12152,13.134,0.495
Caroline,6739,4110,20.173,12.303,270,4380,13.111,0.808
Carroll,37226,21099,22.1,12.526,1917,23016,13.664,1.138
Cecil,18732,10401,18.212,10.112,125,10526,10.234,0.122
Charles,26165,13045,16.027,7.99,854,13899,8.514,0.523
Dorchester,6778,3886,21.228,12.171,700,4586,14.363,2.192
Frederick,56827,31140,21.895,11.998,1900,33040,12.73,0.732
Garrett,6563,4186,22.62,14.428,110,4296,14.807,0.379
Harford,55927,29407,21.894,11.512,1436,30843,12.074,0.562
Howard,86088,47285,26.432,14.518,3970,51255,15.737,1.219
Kent,5404,3763,27.824,19.375,92,3855,19.849,0.474
Montgomery,235862,118951,22.448,11.321,9753,128704,12.249,0.928
Prince George's,128375,54468,14.118,5.99,8548,63016,6.93,0.94
Queen Anne's,11791,6474,23.404,11.745,339,6813,13.523,0.673
Somerset,4130,2558,16.123,9.986,68,2626,10.251,0.265
St. Mary's,23440,13978,20.65,12.314,384,14362,12.653,0.338
Talbot,10830,6491,29.128,17.458,608,7099,19.093,1.635
Washington,27790,17740,18.398,11.745,498,18238,12.074,0.33
Wicomico,21442,14151,20.695,13.658,291,14442,13.939,0.281
Worcester,14807,9538,28.325,18.245,298,9836,18.816,0.57
Unknown,59043,25062,NA,NA,2094,27156,NA,NA
