county,first_dose,second_dose,percent_first_dose,percent_second_dose,single_dose,fully_vaccinated,percent_fully_vaccinated,percent_single_dose
Allegany,18707,11006,0.26566,0.1563,767,11773,0.16719,1.089
Anne Arundel,171245,94875,0.29564,0.16379000000000002,9024,103899,0.17937,1.558
Baltimore,264047,154473,0.31914000000000003,0.1867,10730,165203,0.19967,1.297
Baltimore City,153856,86906,0.25923999999999997,0.14643,6217,93123,0.15691,1.048
Calvert,27785,16023,0.3003,0.17317,866,16889,0.18253,0.936
Caroline,8570,5742,0.25654,0.17189,670,6412,0.19194,2.006
Carroll,52675,30445,0.31271,0.18074,3487,33932,0.20143999999999998,2.07
Cecil,23984,14567,0.23318000000000003,0.14163,491,15058,0.1464,0.477
Charles,41202,19005,0.25238,0.11641,1215,20220,0.12385,0.744
Dorchester,8764,5202,0.27448,0.16292,1052,6254,0.19587,3.295
Frederick,78574,46006,0.30274,0.17725000000000002,6421,52427,0.20199,2.474
Garrett,8201,5097,0.28265999999999997,0.17567,377,5474,0.18867,1.299
Harford,75714,44628,0.29641,0.17471,2738,47366,0.18542999999999998,1.072
Howard,121601,68995,0.37335999999999997,0.21184,5961,74956,0.23015,1.83
Kent,7091,4382,0.3651,0.22562000000000001,195,4577,0.23565999999999998,1.004
Montgomery,350596,187882,0.33368000000000003,0.17882,17440,205322,0.19542,1.66
Prince George's,203502,93684,0.22379000000000002,0.10303000000000001,12160,105844,0.1164,1.337
Queen Anne's,16378,9206,0.32508000000000004,0.15844,880,10086,0.20018999999999998,1.747
Somerset,5374,3327,0.20979,0.12988,305,3632,0.14179,1.191
St. Mary's,30790,18713,0.27125,0.16486,748,19461,0.17145,0.659
Talbot,14533,8972,0.39087000000000005,0.24131,1201,10173,0.27361,3.23
Washington,33895,23932,0.22440000000000002,0.15844,3259,27191,0.18001,2.158
Wicomico,29192,17690,0.28175,0.17074,899,18589,0.17941,0.868
Worcester,19894,12032,0.38055999999999995,0.23015999999999998,578,12610,0.24122,1.106
