county,value,date,fips
allegany,30,2020-06-15,24001
allegany,937,2020-06-16,24001
allegany,101,2020-06-17,24001
allegany,36,2020-06-18,24001
allegany,409,2020-06-19,24001
allegany,296,2020-06-20,24001
allegany,67,2020-06-21,24001
allegany,58,2020-06-22,24001
allegany,667,2020-06-23,24001
allegany,349,2020-06-24,24001
allegany,375,2020-06-25,24001
allegany,136,2020-06-26,24001
allegany,79,2020-06-27,24001
allegany,30,2020-06-28,24001
allegany,65,2020-06-29,24001
allegany,54,2020-06-30,24001
allegany,45,2020-07-01,24001
allegany,82,2020-07-02,24001
allegany,98,2020-07-03,24001
allegany,86,2020-07-04,24001
allegany,65,2020-07-05,24001
allegany,13,2020-07-06,24001
allegany,85,2020-07-07,24001
allegany,433,2020-07-13,24001
allegany,79,2020-07-14,24001
allegany,509,2020-07-15,24001
allegany,284,2020-07-16,24001
allegany,525,2020-07-17,24001
allegany,136,2020-07-18,24001
allegany,243,2020-07-19,24001
allegany,67,2020-07-20,24001
allegany,75,2020-07-21,24001
allegany,522,2020-07-22,24001
allegany,135,2020-07-23,24001
allegany,151,2020-07-24,24001
allegany,370,2020-07-25,24001
allegany,111,2020-07-26,24001
allegany,164,2020-07-27,24001
allegany,144,2020-07-28,24001
allegany,125,2020-07-29,24001
allegany,647,2020-07-30,24001
allegany,387,2020-07-31,24001
allegany,285,2020-08-01,24001
allegany,71,2020-08-02,24001
allegany,375,2020-08-03,24001
allegany,48,2020-08-04,24001
allegany,523,2020-08-05,24001
allegany,146,2020-08-06,24001
allegany,763,2020-08-07,24001
allegany,77,2020-08-08,24001
allegany,502,2020-08-09,24001
allegany,340,2020-08-10,24001
allegany,235,2020-08-11,24001
allegany,255,2020-08-12,24001
allegany,499,2020-08-13,24001
allegany,289,2020-08-14,24001
allegany,641,2020-08-15,24001
allegany,753,2020-08-16,24001
allegany,618,2020-08-17,24001
allegany,87,2020-07-08,24001
allegany,244,2020-07-09,24001
allegany,100,2020-07-10,24001
allegany,145,2020-07-11,24001
allegany,227,2020-07-12,24001
allegany,463,2020-08-18,24001
allegany,283,2020-08-19,24001
allegany,218,2020-08-20,24001
allegany,883,2020-08-21,24001
allegany,652,2020-08-22,24001
allegany,349,2020-08-23,24001
allegany,198,2020-08-24,24001
allegany,111,2020-08-25,24001
allegany,241,2020-08-26,24001
allegany,202,2020-08-27,24001
allegany,315,2020-08-28,24001
allegany,146,2020-08-29,24001
allegany,352,2020-08-30,24001
allegany,209,2020-08-31,24001
allegany,69,2020-09-01,24001
allegany,88,2020-09-02,24001
allegany,293,2020-09-03,24001
allegany,508,2020-09-04,24001
allegany,267,2020-09-05,24001
allegany,66,2020-09-06,24001
allegany,158,2020-09-07,24001
allegany,131,2020-09-08,24001
allegany,123,2020-09-09,24001
allegany,94,2020-09-10,24001
allegany,231,2020-09-11,24001
allegany,524,2020-09-12,24001
allegany,559,2020-09-13,24001
allegany,130,2020-09-14,24001
allegany,195,2020-09-15,24001
allegany,441,2020-09-16,24001
allegany,163,2020-09-17,24001
allegany,245,2020-09-18,24001
allegany,920,2020-09-19,24001
allegany,408,2020-09-20,24001
allegany,154,2020-09-21,24001
allegany,75,2020-09-22,24001
allegany,323,2020-09-23,24001
allegany,429,2020-09-24,24001
allegany,465,2020-09-25,24001
allegany,1070,2020-09-26,24001
allegany,958,2020-09-27,24001
allegany,165,2020-09-28,24001
allegany,178,2020-09-29,24001
allegany,91,2020-09-30,24001
allegany,135,2020-10-01,24001
allegany,993,2020-10-02,24001
allegany,527,2020-10-03,24001
allegany,280,2020-10-04,24001
allegany,130,2020-10-05,24001
allegany,142,2020-10-06,24001
allegany,221,2020-10-07,24001
allegany,217,2020-10-08,24001
allegany,365,2020-10-09,24001
allegany,545,2020-10-10,24001
allegany,228,2020-10-11,24001
allegany,367,2020-10-12,24001
allegany,171,2020-10-13,24001
allegany,209,2020-10-14,24001
allegany,300,2020-10-15,24001
allegany,445,2020-10-16,24001
allegany,515,2020-10-17,24001
allegany,535,2020-10-18,24001
allegany,136,2020-10-19,24001
allegany,291,2020-10-20,24001
allegany,227,2020-10-21,24001
allegany,108,2020-10-22,24001
allegany,495,2020-10-23,24001
allegany,288,2020-10-24,24001
allegany,491,2020-10-25,24001
allegany,466,2020-10-26,24001
allegany,462,2020-10-27,24001
allegany,248,2020-10-28,24001
allegany,868,2020-10-29,24001
allegany,1018,2020-10-30,24001
allegany,572,2020-10-31,24001
allegany,256,2020-11-01,24001
allegany,555,2020-11-02,24001
allegany,667,2020-11-03,24001
allegany,418,2020-11-04,24001
allegany,393,2020-11-05,24001
allegany,619,2020-11-06,24001
allegany,794,2020-11-07,24001
allegany,598,2020-11-08,24001
allegany,633,2020-11-09,24001
allegany,476,2020-11-10,24001
allegany,791,2020-11-11,24001
allegany,473,2020-11-12,24001
allegany,911,2020-11-13,24001
allegany,696,2020-11-14,24001
allegany,591,2020-11-15,24001
allegany,965,2020-11-16,24001
allegany,919,2020-11-17,24001
allegany,942,2020-11-18,24001
allegany,607,2020-11-19,24001
allegany,909,2020-11-20,24001
allegany,1319,2020-11-21,24001
allegany,1222,2020-11-22,24001
allegany,448,2020-11-23,24001
allegany,770,2020-11-24,24001
allegany,1038,2020-11-25,24001
allegany,1078,2020-11-26,24001
allegany,1174,2020-11-27,24001
allegany,695,2020-11-28,24001
allegany,615,2020-11-29,24001
allegany,715,2020-11-30,24001
allegany,1153,2020-12-01,24001
allegany,506,2020-12-02,24001
allegany,1114,2020-12-03,24001
allegany,2723,2020-12-04,24001
allegany,488,2020-12-05,24001
allegany,1031,2020-12-06,24001
allegany,472,2020-12-07,24001
allegany,944,2020-12-09,24001
allegany,616,2020-12-10,24001
allegany,615,2020-12-11,24001
allegany,1171,2020-12-12,24001
allegany,594,2020-12-13,24001
allegany,265,2020-12-14,24001
allegany,475,2020-12-15,24001
allegany,1103,2020-12-16,24001
allegany,377,2020-12-17,24001
allegany,661,2020-12-18,24001
allegany,346,2020-12-19,24001
allegany,924,2020-12-20,24001
allegany,276,2020-12-21,24001
allegany,565,2020-12-22,24001
allegany,658,2020-12-23,24001
allegany,715,2020-12-24,24001
allegany,649,2020-12-26,24001
allegany,191,2020-12-27,24001
allegany,336,2020-12-28,24001
allegany,223,2020-12-29,24001
allegany,576,2020-12-30,24001
anne_arundel,673,2020-06-15,24003
anne_arundel,556,2020-06-16,24003
anne_arundel,1105,2020-06-17,24003
anne_arundel,898,2020-06-18,24003
anne_arundel,765,2020-06-19,24003
anne_arundel,915,2020-06-20,24003
anne_arundel,883,2020-06-21,24003
anne_arundel,712,2020-06-22,24003
anne_arundel,666,2020-06-23,24003
anne_arundel,533,2020-06-24,24003
anne_arundel,1017,2020-06-25,24003
anne_arundel,700,2020-06-26,24003
anne_arundel,953,2020-06-27,24003
anne_arundel,469,2020-06-28,24003
anne_arundel,971,2020-06-29,24003
anne_arundel,640,2020-06-30,24003
anne_arundel,756,2020-07-01,24003
anne_arundel,1572,2020-07-02,24003
anne_arundel,1342,2020-07-03,24003
anne_arundel,1150,2020-07-04,24003
anne_arundel,662,2020-07-05,24003
anne_arundel,655,2020-07-06,24003
anne_arundel,637,2020-07-07,24003
anne_arundel,1565,2020-07-13,24003
anne_arundel,1284,2020-07-14,24003
anne_arundel,1713,2020-07-15,24003
anne_arundel,1736,2020-07-16,24003
anne_arundel,1994,2020-07-17,24003
anne_arundel,1906,2020-07-18,24003
anne_arundel,2197,2020-07-19,24003
anne_arundel,1285,2020-07-20,24003
anne_arundel,1770,2020-07-21,24003
anne_arundel,1186,2020-07-22,24003
anne_arundel,1337,2020-07-23,24003
anne_arundel,2431,2020-07-24,24003
anne_arundel,2359,2020-07-25,24003
anne_arundel,1264,2020-07-26,24003
anne_arundel,2339,2020-07-27,24003
anne_arundel,1987,2020-07-28,24003
anne_arundel,1468,2020-07-29,24003
anne_arundel,1939,2020-07-30,24003
anne_arundel,2437,2020-07-31,24003
anne_arundel,2286,2020-08-01,24003
anne_arundel,2879,2020-08-02,24003
anne_arundel,2134,2020-08-03,24003
anne_arundel,1899,2020-08-04,24003
anne_arundel,1672,2020-08-05,24003
anne_arundel,1749,2020-08-06,24003
anne_arundel,1875,2020-08-07,24003
anne_arundel,1977,2020-08-08,24003
anne_arundel,3310,2020-08-09,24003
anne_arundel,2522,2020-08-10,24003
