county,fips,collection_week,inpatient_beds,inpatient_beds_occupied,inpatient_percent_occupied,icu_beds,icu_beds_occupied,icu_percent_occupied
allegany,24001,2020-07-31,170,154.6,0.9094117647058824,28,12.3,0.43928571428571433
anne_arundel,24003,2020-07-31,234.7,217.9,0.9284192586280359,68.3,54,0.7906295754026355
baltimore,24005,2020-07-31,906.1,758.8,0.8374351616819334,104.7,67.8,0.64756446991404
calvert,24009,2020-07-31,62.8,58.8,0.9363057324840764,5.6,5.2,0.9285714285714287
caroline,24011,2020-07-31,NA,NA,NA,NA,NA,NA
carroll,24013,2020-07-31,125.6,116.3,0.9259554140127388,10,6.3,0.63
cecil,24015,2020-07-31,NA,NA,NA,NA,NA,NA
charles,24017,2020-07-31,NA,NA,NA,NA,NA,NA
dorchester,24019,2020-07-31,NA,NA,NA,NA,NA,NA
frederick,24021,2020-07-31,237,184,0.7763713080168776,18,17,0.9444444444444444
garrett,24023,2020-07-31,0,0,NA,0,0,NA
harford,24025,2020-07-31,217.8,178.79999999999998,0.8209366391184572,30.7,24.099999999999998,0.785016286644951
howard,24027,2020-07-31,282.4,194.6,0.6890934844192635,26.4,13.2,0.5
kent,24029,2020-07-31,10.8,8.7,0.8055555555555555,0,0,NA
montgomery,24031,2020-07-31,1297,968.7,0.7468774094063223,156,111.1,0.7121794871794871
prince_georges,24033,2020-07-31,853.1,645.9,0.7571210877974446,147.7,106.2,0.7190250507786053
queen_annes,24035,2020-07-31,NA,NA,NA,NA,NA,NA
st_marys,24037,2020-07-31,84,50.3,0.5988095238095238,12,4.8,0.39999999999999997
somerset,24039,2020-07-31,NA,NA,NA,NA,NA,NA
talbot,24041,2020-07-31,71.8,57.9,0.8064066852367688,4.7,4.1,0.8723404255319148
washington,24043,2020-07-31,207.6,189.9,0.9147398843930636,24,18.6,0.775
wicomico,24045,2020-07-31,349,210.2,0.6022922636103152,86,31.3,0.363953488372093
worcester,24047,2020-07-31,30.7,29.7,0.9674267100977199,6.1,5.6,0.9180327868852459
baltimore_city,24510,2020-07-31,2392.2,1948.2,0.8143967895660899,309.6,249.6,0.8062015503875968
allegany,24001,2020-08-07,170,159.4,0.9376470588235295,28,11.9,0.425
anne_arundel,24003,2020-08-07,225.9,214.9,0.9513058875608676,67.6,51.1,0.7559171597633136
baltimore,24005,2020-08-07,904.5,793.7,0.877501381978994,95.8,67.6,0.7056367432150312
calvert,24009,2020-08-07,59.4,55,0.9259259259259259,6.2,6.2,1
caroline,24011,2020-08-07,NA,NA,NA,NA,NA,NA
carroll,24013,2020-08-07,127.1,115,0.9047993705743509,10,6,0.6
cecil,24015,2020-08-07,69.3,56,0.8080808080808081,7.7,5.1,0.6623376623376622
charles,24017,2020-08-07,NA,NA,NA,NA,NA,NA
dorchester,24019,2020-08-07,NA,NA,NA,NA,NA,NA
frederick,24021,2020-08-07,237,157.2,0.6632911392405063,18,11.8,0.6555555555555556
garrett,24023,2020-08-07,0,0,NA,0,0,NA
harford,24025,2020-08-07,213.7,185.8,0.8694431445952271,31,25.6,0.8258064516129032
howard,24027,2020-08-07,290,192.3,0.6631034482758621,30,11.3,0.3766666666666667
kent,24029,2020-08-07,10,7.3,0.73,0,0,NA
montgomery,24031,2020-08-07,1277.5,972.3,0.7610958904109588,157,110.1,0.7012738853503184
prince_georges,24033,2020-08-07,894.9,664.4,0.7424293217119231,164,104,0.6341463414634146
queen_annes,24035,2020-08-07,NA,NA,NA,NA,NA,NA
st_marys,24037,2020-08-07,84,71.1,0.8464285714285713,12,7.9,0.6583333333333333
somerset,24039,2020-08-07,NA,NA,NA,NA,NA,NA
talbot,24041,2020-08-07,74.6,73.6,0.9865951742627346,5.9,5.1,0.8644067796610169
washington,24043,2020-08-07,215.8,204.8,0.9490268767377201,24,18.3,0.7625000000000001
wicomico,24045,2020-08-07,349,214,0.6131805157593123,86,28,0.32558139534883723
worcester,24047,2020-08-07,NA,NA,NA,NA,NA,NA
baltimore_city,24510,2020-08-07,2407.5,1994.4,0.8284112149532711,309.7,244.5,0.7894736842105263
allegany,24001,2020-08-14,175.6,169.3,0.9641230068337131,28,13.3,0.47500000000000003
anne_arundel,24003,2020-08-14,229.7,207.3,0.9024814976055726,46.7,48.7,1.0428265524625269
baltimore,24005,2020-08-14,916.4,784.6,0.8561763422086426,97.8,67.6,0.6912065439672801
calvert,24009,2020-08-14,55.4,50.6,0.9133574007220218,6.6,6.6,1
caroline,24011,2020-08-14,NA,NA,NA,NA,NA,NA
carroll,24013,2020-08-14,128,123.4,0.9640625,10.1,9.1,0.900990099009901
cecil,24015,2020-08-14,NA,NA,NA,NA,NA,NA
charles,24017,2020-08-14,NA,NA,NA,NA,NA,NA
dorchester,24019,2020-08-14,NA,NA,NA,NA,NA,NA
frederick,24021,2020-08-14,232.5,115.5,0.4967741935483871,13.5,7,0.5185185185185185
garrett,24023,2020-08-14,0,0,NA,0,0,NA
harford,24025,2020-08-14,214.10000000000002,176,0.8220457730032694,29.9,24,0.802675585284281
howard,24027,2020-08-14,290,200.3,0.6906896551724139,30,13,0.43333333333333335
kent,24029,2020-08-14,10.1,8.7,0.8613861386138614,0,0,NA
montgomery,24031,2020-08-14,1267.8,955.9000000000001,0.7539832781195773,163.8,109.8,0.6703296703296703
prince_georges,24033,2020-08-14,843.9,639.1,0.75731721767982,136.7,95.1,0.695683979517191
queen_annes,24035,2020-08-14,NA,NA,NA,NA,NA,NA
st_marys,24037,2020-08-14,84,67.9,0.8083333333333333,12,7.1,0.5916666666666667
somerset,24039,2020-08-14,NA,NA,NA,NA,NA,NA
talbot,24041,2020-08-14,76.7,73,0.9517601043024772,6.1,5.6,0.9180327868852459
washington,24043,2020-08-14,216.9,198.4,0.9147072383586906,24,16.6,0.6916666666666668
wicomico,24045,2020-08-14,349,241.3,0.6914040114613181,86,32.3,0.37558139534883717
worcester,24047,2020-08-14,NA,NA,NA,NA,NA,NA
baltimore_city,24510,2020-08-14,2400.1,1958.6,0.8160493312778634,313.3,236.3,0.7542291733163102
allegany,24001,2020-08-21,170,156,0.9176470588235294,28,12.6,0.45
anne_arundel,24003,2020-08-21,211.3,193.6,0.9162328442972076,48.8,47.400000000000006,0.9713114754098362
baltimore,24005,2020-08-21,910.5999999999999,751.2,0.824950582033824,97.3,63,0.6474820143884892
calvert,24009,2020-08-21,57,52.2,0.9157894736842106,5.4,5,0.9259259259259258
caroline,24011,2020-08-21,NA,NA,NA,NA,NA,NA
carroll,24013,2020-08-21,127.3,117.7,0.92458758837392,10.1,7.7,0.7623762376237624
cecil,24015,2020-08-21,65.9,54.4,0.825493171471927,7.1,4.7,0.6619718309859155
charles,24017,2020-08-21,NA,NA,NA,NA,NA,NA
dorchester,24019,2020-08-21,NA,NA,NA,NA,NA,NA
frederick,24021,2020-08-21,237,151.2,0.6379746835443038,18,10.2,0.5666666666666667
garrett,24023,2020-08-21,0,0,NA,0,0,NA
harford,24025,2020-08-21,214.7,197.3,0.9189566837447602,30.7,26.099999999999998,0.8501628664495113
howard,24027,2020-08-21,290,205.8,0.7096551724137932,30,14.3,0.4766666666666667
kent,24029,2020-08-21,NA,NA,NA,NA,NA,NA
montgomery,24031,2020-08-21,1270,979.5,0.771259842519685,171.1,112,0.6545879602571596
prince_georges,24033,2020-08-21,850.3,635.1,0.7469128542867224,134.1,96.1,0.7166293810589113
queen_annes,24035,2020-08-21,NA,NA,NA,NA,NA,NA
st_marys,24037,2020-08-21,95.7,68.4,0.7147335423197493,12,5,0.4166666666666667
somerset,24039,2020-08-21,NA,NA,NA,NA,NA,NA
talbot,24041,2020-08-21,71.9,74.6,1.0375521557719052,6.6,6.3,0.9545454545454546
washington,24043,2020-08-21,206.7,188.9,0.9138848572810838,24,12.7,0.5291666666666667
wicomico,24045,2020-08-21,349,224.9,0.6444126074498567,86,33.3,0.3872093023255814
worcester,24047,2020-08-21,44.3,40.6,0.9164785553047405,8.6,7.6,0.8837209302325582
baltimore_city,24510,2020-08-21,2412.3,1956.1,0.8108858765493512,313.3,231.1,0.7376316629428662
allegany,24001,2020-08-28,173,155.3,0.8976878612716763,28,11.1,0.3964285714285714
anne_arundel,24003,2020-08-28,238.7,231.6,0.9702555509007122,52,51.2,0.9846153846153847
baltimore,24005,2020-08-28,905.5,737.1,0.8140254003313087,92.8,68.9,0.7424568965517242
calvert,24009,2020-08-28,NA,NA,NA,NA,NA,NA
caroline,24011,2020-08-28,NA,NA,NA,NA,NA,NA
carroll,24013,2020-08-28,NA,NA,NA,NA,NA,NA
cecil,24015,2020-08-28,78.7,58.4,0.7420584498094027,8.9,5.1,0.5730337078651685
charles,24017,2020-08-28,53.3,55.8,1.0469043151969981,7,6,0.8571428571428571
dorchester,24019,2020-08-28,NA,NA,NA,NA,NA,NA
frederick,24021,2020-08-28,237,132.6,0.5594936708860759,18,8.1,0.44999999999999996
garrett,24023,2020-08-28,0,0,NA,0,0,NA
harford,24025,2020-08-28,206.2,181.10000000000002,0.8782735208535404,31,25.200000000000003,0.8129032258064517
howard,24027,2020-08-28,290,199.7,0.6886206896551724,30,15.8,0.5266666666666667
kent,24029,2020-08-28,10,7.9,0.79,0,0,NA
montgomery,24031,2020-08-28,1272.2,971.5,0.7636377927998742,164,114.4,0.6975609756097562
prince_georges,24033,2020-08-28,785.8,619.2,0.7879867650801732,127,93.9,0.7393700787401575
queen_annes,24035,2020-08-28,NA,NA,NA,NA,NA,NA
st_marys,24037,2020-08-28,125,85.4,0.6832,12,6.4,0.5333333333333333
somerset,24039,2020-08-28,NA,NA,NA,NA,NA,NA
talbot,24041,2020-08-28,64.4,59.4,0.9223602484472049,7.3,6.9,0.9452054794520549
washington,24043,2020-08-28,247.4,185.1,0.748181083265966,24,15.1,0.6291666666666667
wicomico,24045,2020-08-28,349,218.1,0.6249283667621777,86,28.1,0.3267441860465116
worcester,24047,2020-08-28,44.3,33.4,0.7539503386004515,8,7.3,0.9125
baltimore_city,24510,2020-08-28,2519.9,2086.2,0.8278899956347473,333.1,253,0.7595316721705193
allegany,24001,2020-09-04,172.4,163.7,0.94953596287703,28,8.7,0.31071428571428567
anne_arundel,24003,2020-09-04,234.6,225.6,0.9616368286445013,49.099999999999994,48,0.9775967413441956
baltimore,24005,2020-09-04,912.4,774.8,0.8491889522139412,99.6,72.3,0.7259036144578314
calvert,24009,2020-09-04,59.5,57.3,0.9630252100840335,6.3,6.3,1
caroline,24011,2020-09-04,NA,NA,NA,NA,NA,NA
carroll,24013,2020-09-04,131.6,112.9,0.8579027355623101,10,4.6,0.45999999999999996
cecil,24015,2020-09-04,79.3,52.6,0.6633039092055486,9.7,7.4,0.7628865979381444
charles,24017,2020-09-04,70,65.7,0.9385714285714286,5.7,6.4,1.1228070175438596
dorchester,24019,2020-09-04,NA,NA,NA,NA,NA,NA
frederick,24021,2020-09-04,237,155.1,0.6544303797468354,18,13.1,0.7277777777777777
garrett,24023,2020-09-04,NA,NA,NA,NA,NA,NA
harford,24025,2020-09-04,163.3,142.7,0.8738518064911205,24.3,21.1,0.8683127572016461
howard,24027,2020-09-04,290,207,0.7137931034482758,30,18.7,0.6233333333333333
kent,24029,2020-09-04,9.6,8.4,0.8750000000000001,0,0,NA
montgomery,24031,2020-09-04,1266.4,946.4,0.7473152242577384,160.5,113.5,0.7071651090342679
prince_georges,24033,2020-09-04,812.6,618.5,0.7611370908195915,129,96.5,0.748062015503876
queen_annes,24035,2020-09-04,NA,NA,NA,NA,NA,NA
st_marys,24037,2020-09-04,125,74.6,0.5968,12,6,0.5
somerset,24039,2020-09-04,NA,NA,NA,NA,NA,NA
talbot,24041,2020-09-04,75.1,67.1,0.8934753661784287,6.3,5.7,0.9047619047619048
washington,24043,2020-09-04,192,175.6,0.9145833333333333,24,15.9,0.6625
wicomico,24045,2020-09-04,349,229.6,0.6578796561604584,86,30.4,0.35348837209302325
worcester,24047,2020-09-04,40,34.5,0.8625,9,7.2,0.8
baltimore_city,24510,2020-09-04,2355.2000000000003,1900.5,0.806937839673913,300.9,227.8,0.7570621468926555
allegany,24001,2020-09-11,174.6,168.3,0.963917525773196,28,11.9,0.425
anne_arundel,24003,2020-09-11,242.1,233.7,0.9653035935563816,28.3,26.6,0.9399293286219081
baltimore,24005,2020-09-11,906.7,779.8,0.8600419102238888,99.7,74.39999999999999,0.7462387161484453
calvert,24009,2020-09-11,49.7,46.7,0.9396378269617707,4.9,4,0.8163265306122448
caroline,24011,2020-09-11,NA,NA,NA,NA,NA,NA
carroll,24013,2020-09-11,140.3,136,0.969351389878831,10,6.7,0.67
cecil,24015,2020-09-11,72.4,53.9,0.7444751381215469,8,6.3,0.7875
charles,24017,2020-09-11,117.1,84.7,0.7233134073441504,9.1,6.7,0.7362637362637363
dorchester,24019,2020-09-11,NA,NA,NA,NA,NA,NA
frederick,24021,2020-09-11,237,167.7,0.7075949367088608,18,13.6,0.7555555555555555
garrett,24023,2020-09-11,NA,NA,NA,NA,NA,NA
harford,24025,2020-09-11,232.60000000000002,204,0.877042132416165,30.4,25.900000000000002,0.8519736842105264
howard,24027,2020-09-11,299.3,207.1,0.6919478783828934,30,13.4,0.44666666666666666
kent,24029,2020-09-11,NA,NA,NA,NA,NA,NA
montgomery,24031,2020-09-11,1273.3,985.4,0.7738946045708003,161.7,106.8,0.6604823747680891
