date,count
2020-03-27,25
2020-03-28,32
2020-03-29,39
2020-03-30,43
2020-03-31,53
2020-04-01,69
2020-04-02,81
2020-04-03,159
2020-04-04,159
2020-04-05,159
2020-04-06,184
2020-04-07,288
2020-04-08,365
2020-04-09,376
2020-04-10,397
2020-04-11,431
2020-04-12,456
2020-04-13,603
2020-04-14,607
2020-04-15,607
2020-04-16,736
2020-04-17,736
2020-04-18,771
2020-04-19,914
2020-04-20,917
2020-04-21,930
2020-04-22,981
2020-04-23,1040
2020-04-24,1108
2020-04-25,1165
2020-04-26,1177
2020-04-27,1263
2020-04-28,1295
2020-04-29,1361
2020-04-30,1432
2020-05-01,1517
2020-05-02,1590
2020-05-03,1666
2020-05-04,1695
2020-05-05,1810
2020-05-06,1903
2020-05-07,2029
2020-05-08,2041
2020-05-09,2159
2020-05-10,2293
2020-05-11,2298
2020-05-12,2394
2020-05-13,2456
2020-05-14,2569
2020-05-15,2685
2020-05-16,2806
2020-05-17,2816
2020-05-18,2817
2020-05-19,2868
2020-05-20,2993
2020-05-21,3099
2020-05-22,3243
2020-05-23,3283
2020-05-24,3319
2020-05-25,3329
2020-05-26,3334
2020-05-27,3401
2020-05-28,3468
2020-05-29,3571
2020-05-30,3649
2020-05-31,3764
2020-06-01,3782
2020-06-02,3855
2020-06-03,3970
2020-06-04,3985
2020-06-05,4159
2020-06-06,4175
2020-06-07,4240
2020-06-08,4240
2020-06-09,4279
2020-06-10,4310
2020-06-11,4365
2020-06-12,4474
2020-06-13,4536
2020-06-14,4541
2020-06-15,4567
2020-06-16,4579
2020-06-17,4596
2020-06-18,4640
2020-06-19,4685
2020-06-20,4745
2020-06-21,4773
2020-06-22,4776
2020-06-23,4797
2020-06-24,4810
2020-06-25,4874
2020-06-26,4903
2020-06-27,4935
2020-06-28,4976
2020-06-29,4979
2020-06-30,4982
2020-07-01,5001
2020-07-02,5013
2020-07-03,5023
2020-07-04,5025
2020-07-05,5029
2020-07-06,5029
2020-07-07,5036
2020-07-08,5085
2020-07-09,5132
2020-07-10,5132
2020-07-11,5190
2020-07-12,5230
2020-07-13,5230
2020-07-14,5238
2020-07-15,5238
2020-07-16,5286
2020-07-17,5286
2020-07-18,5344
2020-07-19,5344
2020-07-20,5344
2020-07-21,5380
2020-07-22,5434
2020-07-23,5434
2020-07-24,5434
2020-07-25,5434
2020-07-26,5434
2020-07-27,5434
2020-07-28,5592
2020-07-29,5592
2020-07-30,5592
2020-07-31,5689
2020-08-01,5713
2020-08-02,5713
2020-08-03,5740
2020-08-04,5740
2020-08-05,5749
2020-08-06,5790
2020-08-07,5838
2020-08-08,5899
2020-08-09,5910
2020-08-10,5910
2020-08-11,5935
2020-08-12,5956
2020-08-13,5962
2020-08-14,5962
2020-08-15,5995
2020-08-16,6004
2020-08-17,6008
2020-08-18,6008
2020-08-19,6030
2020-08-20,6040
2020-08-21,6047
2020-08-22,6047
2020-08-23,6047
2020-08-24,6047
2020-08-25,6056
2020-08-26,6061
2020-08-27,6080
2020-08-28,6124
2020-08-29,6124
2020-08-30,6124
2020-08-31,6124
2020-09-01,6976
2020-09-02,7026
2020-09-03,7039
2020-09-04,7072
2020-09-05,7099
2020-09-06,7103
2020-09-07,7112
2020-09-08,7142
2020-09-09,7157
2020-09-10,7166
2020-09-11,7186
2020-09-12,7221
2020-09-13,7225
2020-09-14,7229
2020-09-15,7254
2020-09-16,7286
2020-09-17,7311
2020-09-18,7351
2020-09-19,7374
2020-09-20,7377
2020-09-21,7377
2020-09-22,7394
2020-09-23,7396
2020-09-24,7416
2020-09-25,7431
2020-09-26,7458
2020-09-27,7463
2020-09-28,7476
2020-09-29,7509
2020-09-30,7536
2020-10-01,7568
2020-10-02,7606
2020-10-03,7652
2020-10-04,7653
2020-10-05,7657
2020-10-06,7661
2020-10-07,7665
2020-10-08,7676
2020-10-09,7704
2020-10-10,7721
2020-10-11,7738
2020-10-12,7738
2020-10-13,7744
2020-10-14,7812
2020-10-15,7851
2020-10-16,7869
2020-10-17,7880
2020-10-18,7890
2020-10-19,7892
2020-10-20,7926
2020-10-21,7960
2020-10-22,7999
2020-10-23,8030
2020-10-24,8055
2020-10-25,8064
2020-10-26,8067
2020-10-27,8099
2020-10-28,8117
2020-10-29,8144
2020-10-30,8164
2020-10-31,8181
2020-11-01,8199
2020-11-02,8201
2020-11-03,8223
2020-11-04,8235
2020-11-05,8255
2020-11-06,8262
2020-11-07,8284
2020-11-08,8291
2020-11-09,8297
2020-11-10,8305
2020-11-11,8313
2020-11-12,8323
2020-11-13,8343
2020-11-14,8362
2020-11-15,8374
2020-11-16,8380
2020-11-17,8408
