date,negatives
2020-03-26,9988
2020-03-27,11516
2020-03-28,12354
2020-03-29,13316
2020-03-30,14868
2020-03-31,17233
2020-04-01,18890
2020-04-02,20932
2020-04-03,22485
2020-04-04,24728
2020-04-05,25572
2020-04-06,27256
2020-04-07,32933
2020-04-08,35344
2020-04-09,37480
2020-04-10,39544
2020-04-11,41539
2020-04-12,42815
2020-04-13,44261
2020-04-14,45731
2020-04-15,48059
2020-04-16,50437
2020-04-17,53062
2020-04-18,55061
2020-04-19,57713
2020-04-20,59442
2020-04-21,61745
2020-04-22,64363
2020-04-23,68100
2020-04-24,71357
2020-04-25,78084
2020-04-26,85489
2020-04-27,87672
2020-04-28,90080
2020-04-29,92617
2020-04-30,97511
2020-05-01,101049
2020-05-02,107332
2020-05-03,110587
2020-05-04,112986
2020-05-05,115849
2020-05-06,119226
2020-05-07,121702
2020-05-08,124494
2020-05-09,127344
2020-05-10,131407
2020-05-11,135442
2020-05-12,138762
2020-05-13,142551
2020-05-14,145840
2020-05-15,152207
2020-05-16,156122
2020-05-17,161744
2020-05-18,167112
2020-05-19,173007
2020-05-20,176702
2020-05-21,183478
2020-05-22,186832
2020-05-23,194049
2020-05-24,202425
2020-05-25,206800
2020-05-26,213632
2020-05-27,225149
2020-05-28,233530
2020-05-29,241931
2020-05-30,249103
2020-05-31,255403
2020-06-01,261640
2020-06-02,272643
2020-06-03,281160
2020-06-04,290956
2020-06-05,299894
2020-06-06,306830
2020-06-07,313099
2020-06-08,319178
2020-06-09,325177
2020-06-10,332173
2020-06-11,339482
2020-06-12,347453
2020-06-13,353608
2020-06-14,359076
2020-06-15,366816
2020-06-16,378374
2020-06-17,384379
2020-06-18,390121
2020-06-19,398324
2020-06-20,404725
2020-06-21,410122
2020-06-22,418528
2020-06-23,425120
2020-06-24,433182
2020-06-25,440282
2020-06-26,447366
2020-06-27,452696
2020-06-28,462059
2020-06-29,468296
2020-06-30,474686
2020-07-01,484752
2020-07-02,494873
2020-07-03,504001
2020-07-04,510330
2020-07-05,517457
2020-07-06,523982
2020-07-07,532247
2020-07-08,541134
2020-07-09,549153
2020-07-10,556810
2020-07-11,570282
2020-07-12,578430
2020-07-13,591809
2020-07-14,605072
2020-07-15,616865
2020-07-16,631845
2020-07-17,643780
2020-07-18,661654
2020-07-19,670594
2020-07-20,684822
2020-07-21,702661
2020-07-22,708205
2020-07-23,722584
2020-07-24,742272
2020-07-25,754824
2020-07-26,770642
2020-07-27,782732
2020-07-28,792674
2020-07-29,806788
2020-07-30,822845
2020-07-31,839989
2020-08-01,854512
2020-08-02,869493
2020-08-03,880492
2020-08-04,889969
2020-08-05,899136
2020-08-06,913018
2020-08-07,924942
2020-08-08,943842
2020-08-09,960552
2020-08-10,970616
2020-08-11,981454
2020-08-12,996934
2020-08-13,1011398
2020-08-14,1027959
2020-08-15,1042198
2020-08-16,1056897
2020-08-17,1066070
2020-08-18,1074119
2020-08-19,1085447
2020-08-20,1101368
2020-08-21,1116918
2020-08-22,1128794
2020-08-23,1142924
2020-08-24,1150519
2020-08-25,1157685
2020-08-26,1169019
2020-08-27,1184606
2020-08-28,1197189
2020-08-29,1211447
2020-08-30,1222604
2020-08-31,1230054
2020-09-01,1236327
2020-09-02,1247593
2020-09-03,1260634
2020-09-04,1272848
2020-09-05,1281205
2020-09-06,1292306
2020-09-07,1297359
2020-09-08,1301947
2020-09-09,1309649
2020-09-10,1318152
2020-09-11,1328919
2020-09-12,1339735
2020-09-13,1348217
2020-09-14,1355537
2020-09-15,1365070
2020-09-16,1375823
2020-09-17,1385805
2020-09-18,1399060
2020-09-19,1409320
2020-09-20,1417061
2020-09-21,1423102
2020-09-22,1430808
2020-09-23,1439779
2020-09-24,1450125
2020-09-25,1461328
2020-09-26,1470960
2020-09-27,1479219
2020-09-28,1485999
2020-09-29,1493282
2020-09-30,1502690
2020-10-01,1513563
2020-10-02,1522906
2020-10-03,1532557
2020-10-04,1540526
2020-10-05,1547023
2020-10-06,1555240
2020-10-07,1566874
2020-10-08,1577208
2020-10-09,1589007
2020-10-10,1600487
2020-10-11,1610574
2020-10-12,1618966
2020-10-13,1627736
2020-10-14,1637287
2020-10-15,1648128
2020-10-16,1659777
2020-10-17,1671005
2020-10-18,1680568
2020-10-19,1688161
2020-10-20,1694771
2020-10-21,1705376
2020-10-22,1716603
2020-10-23,1727440
2020-10-24,1738650
2020-10-25,1747527
2020-10-26,1756353
2020-10-27,1763527
2020-10-28,1773461
2020-10-29,1782204
2020-10-30,1793391
2020-10-31,1803035
2020-11-01,1813450
2020-11-02,1820134
2020-11-03,1830301
2020-11-04,1840059
2020-11-05,1851665
2020-11-06,1862399
2020-11-07,1872296
2020-11-08,1882274
2020-11-09,1891138
2020-11-10,1902413
2020-11-11,1912085
2020-11-12,1922533
2020-11-13,1934079
2020-11-14,1944536
2020-11-15,1955619
2020-11-16,1965796
2020-11-17,1977512
2020-11-18,1994775
2020-11-19,2008345
2020-11-20,2026318
2020-11-21,2043250
2020-11-22,2054695
2020-11-23,2066560
2020-11-24,2082499
2020-11-25,2096687
2020-11-26,2112687
2020-11-27,2123122
2020-11-28,2136392
2020-11-29,2146539
2020-11-30,2156576
2020-12-01,2168003
2020-12-02,2177942
2020-12-03,2194096
2020-12-04,2210796
2020-12-05,2225595
2020-12-06,2240700
2020-12-07,2254514
2020-12-08,2267585
2020-12-09,2284351
2020-12-10,2298689
2020-12-11,2315445
2020-12-12,2331001
2020-12-13,2344023
2020-12-14,2354515
2020-12-15,2365844
2020-12-16,2374542
2020-12-17,2387177
2020-12-18,2396720
2020-12-19,2407783
2020-12-20,2420417
2020-12-21,2435353
2020-12-22,2447078
2020-12-23,2460491
2020-12-24,2471804
2020-12-25,2482720
2020-12-26,2490941
2020-12-27,2502325
2020-12-28,2508079
2020-12-29,2516856
2020-12-30,2525806
2020-12-31,2538142
2021-01-01,2550540
2021-01-02,2558381
2021-01-03,2569672
2021-01-04,2575342
2021-01-05,2586246
2021-01-06,2595614
2021-01-07,2608591
2021-01-08,2621245
2021-01-09,2636065
2021-01-10,2649578
2021-01-11,2658742
2021-01-12,2667562
2021-01-13,2679345
2021-01-14,2691673
2021-01-15,2705207
2021-01-16,2716464
2021-01-17,2724491
2021-01-18,2731921
2021-01-19,2740161
2021-01-20,2749627
2021-01-21,2760718
2021-01-22,2771726
2021-01-23,2779405
2021-01-24,2787084
2021-01-25,2793416
2021-01-26,2801971
2021-01-27,2810526
