county,value,date,fips
allegany,4967,2020-06-15,24001
allegany,5906,2020-06-16,24001
allegany,6008,2020-06-17,24001
allegany,6044,2020-06-18,24001
allegany,6450,2020-06-19,24001
allegany,6742,2020-06-20,24001
allegany,6809,2020-06-21,24001
allegany,6867,2020-06-22,24001
allegany,7535,2020-06-23,24001
allegany,7884,2020-06-24,24001
allegany,8258,2020-06-25,24001
allegany,8396,2020-06-26,24001
allegany,8469,2020-06-27,24001
allegany,8499,2020-06-28,24001
allegany,8564,2020-06-29,24001
allegany,8652,2020-06-30,24001
allegany,8715,2020-07-01,24001
allegany,8797,2020-07-02,24001
allegany,8895,2020-07-03,24001
allegany,8981,2020-07-04,24001
allegany,9046,2020-07-05,24001
allegany,9059,2020-07-06,24001
allegany,9145,2020-07-07,24001
allegany,10356,2020-07-13,24001
allegany,10434,2020-07-14,24001
allegany,10941,2020-07-15,24001
allegany,11219,2020-07-16,24001
anne_arundel,38854,2020-06-15,24003
anne_arundel,39424,2020-06-16,24003
anne_arundel,40535,2020-06-17,24003
anne_arundel,41427,2020-06-18,24003
anne_arundel,42194,2020-06-19,24003
anne_arundel,43118,2020-06-20,24003
anne_arundel,44001,2020-06-21,24003
anne_arundel,44714,2020-06-22,24003
anne_arundel,45382,2020-06-23,24003
anne_arundel,45914,2020-06-24,24003
anne_arundel,46939,2020-06-25,24003
anne_arundel,47639,2020-06-26,24003
anne_arundel,48616,2020-06-27,24003
anne_arundel,49090,2020-06-28,24003
anne_arundel,50061,2020-06-29,24003
anne_arundel,50711,2020-06-30,24003
anne_arundel,51479,2020-07-01,24003
anne_arundel,53059,2020-07-02,24003
anne_arundel,54398,2020-07-03,24003
anne_arundel,55548,2020-07-04,24003
anne_arundel,56212,2020-07-05,24003
anne_arundel,56865,2020-07-06,24003
anne_arundel,57488,2020-07-07,24003
anne_arundel,65856,2020-07-13,24003
anne_arundel,67162,2020-07-14,24003
anne_arundel,68912,2020-07-15,24003
anne_arundel,70668,2020-07-16,24003
baltimore,76974,2020-06-15,24005
baltimore,77764,2020-06-16,24005
baltimore,79843,2020-06-17,24005
baltimore,80938,2020-06-18,24005
baltimore,81950,2020-06-19,24005
baltimore,83309,2020-06-20,24005
baltimore,84335,2020-06-21,24005
baltimore,85330,2020-06-22,24005
baltimore,86208,2020-06-23,24005
baltimore,87191,2020-06-24,24005
baltimore,88518,2020-06-25,24005
baltimore,89603,2020-06-26,24005
baltimore,90518,2020-06-27,24005
baltimore,91519,2020-06-28,24005
baltimore,93350,2020-06-29,24005
baltimore,94298,2020-06-30,24005
baltimore,95884,2020-07-01,24005
baltimore,97317,2020-07-02,24005
baltimore,99134,2020-07-03,24005
baltimore,100873,2020-07-04,24005
baltimore,102104,2020-07-05,24005
baltimore,103705,2020-07-06,24005
baltimore,105084,2020-07-07,24005
baltimore,117173,2020-07-13,24005
baltimore,119855,2020-07-14,24005
baltimore,123132,2020-07-15,24005
baltimore,125191,2020-07-16,24005
baltimore_city,57767,2020-06-15,24510
baltimore_city,58597,2020-06-16,24510
baltimore_city,60531,2020-06-17,24510
baltimore_city,61592,2020-06-18,24510
baltimore_city,62605,2020-06-19,24510
baltimore_city,64041,2020-06-20,24510
baltimore_city,65236,2020-06-21,24510
baltimore_city,66277,2020-06-22,24510
baltimore_city,67322,2020-06-23,24510
baltimore_city,68400,2020-06-24,24510
baltimore_city,69707,2020-06-25,24510
baltimore_city,70926,2020-06-26,24510
baltimore_city,72234,2020-06-27,24510
baltimore_city,73247,2020-06-28,24510
baltimore_city,74875,2020-06-29,24510
baltimore_city,76300,2020-06-30,24510
baltimore_city,77716,2020-07-01,24510
baltimore_city,79595,2020-07-02,24510
