county,value,date,fips,population,tests_per_100k
allegany,29030,2020-11-19,24001,71977,40332.3283826778
anne_arundel,198946,2020-11-19,24003,567696,35044.46041543361
baltimore,303149,2020-11-19,24005,827625,36628.78719226703
baltimore_city,264096,2020-11-19,24510,614700,42963.39677891655
calvert,22757,2020-11-19,24009,91082,24985.178191080566
caroline,11341,2020-11-19,24011,32875,34497.338403041824
carroll,52439,2020-11-19,24013,167522,31302.75426511145
cecil,25955,2020-11-19,24015,102517,25317.752177687602
charles,46340,2020-11-19,24017,157671,29390.31273981899
dorchester,14203,2020-11-19,24019,32261,44025.293698273454
frederick,97555,2020-11-19,24021,248472,39261.969155478284
garrett,7974,2020-11-19,24023,29376,27144.60784313725
harford,75475,2020-11-19,24025,251025,30066.72642167115
howard,117571,2020-11-19,24027,315327,37285.421165964224
kent,8409,2020-11-19,24029,19593,42918.38922064003
montgomery,393977,2020-11-19,24031,1040133,37877.55988897574
prince_georges,310713,2020-11-19,24033,906202,34287.388463057905
queen_annes,15620,2020-11-19,24035,49355,31648.26258737716
somerset,11217,2020-11-19,24039,25737,43583.16820142208
st_marys,32598,2020-11-19,24037,111531,29227.748339026817
talbot,14905,2020-11-19,24041,37211,40055.35997420118
washington,57687,2020-11-19,24043,149811,38506.518212948315
wicomico,37143,2020-11-19,24045,102172,36353.40406373566
worcester,20408,2020-11-19,24047,51564,39578.000155147005
