date,number_of_tests,number_of_positives,percent_positive,rolling_avg
2020-03-23,955,77,8.06,NA
2020-03-24,1120,84,7.5,NA
2020-03-25,3341,402,12.03,NA
2020-03-26,1820,206,11.32,NA
2020-03-27,3075,348,11.32,NA
2020-03-28,1308,177,13.53,NA
2020-03-29,1585,243,15.33,11.3
2020-03-30,2054,324,15.77,12.4
2020-03-31,2945,495,16.81,13.73
2020-04-01,2536,450,17.74,14.55
2020-04-02,3036,558,18.38,15.56
2020-04-03,2629,461,17.54,16.44
2020-04-04,3401,619,18.2,17.11
2020-04-05,2633,626,23.78,18.32
2020-04-06,1404,306,21.79,19.18
2020-04-07,7936,1600,20.16,19.66
2020-04-08,3155,684,21.68,20.22
2020-04-09,3924,935,23.83,21
2020-04-10,3632,874,24.06,21.93
2020-04-11,2175,535,24.6,22.84
2020-04-12,3804,967,25.42,23.08
2020-04-13,1583,428,27.04,23.83
2020-04-14,2406,708,29.43,25.15
2020-04-15,3578,1059,29.6,26.28
2020-04-16,3439,909,26.43,26.65
2020-04-17,3776,980,25.95,26.92
2020-04-18,2739,614,22.42,26.61
2020-04-19,3952,1080,27.33,26.88
2020-04-20,2188,544,24.86,26.57
2020-04-21,3298,761,23.07,25.67
2020-04-22,3906,1107,28.34,25.49
2020-04-23,4870,1106,22.71,24.96
2020-04-24,4486,1126,25.1,24.83
2020-04-25,4288,957,22.32,24.82
2020-04-26,4033,1054,26.13,24.65
2020-04-27,2827,655,23.17,24.41
2020-04-28,3055,782,25.6,24.77
2020-04-29,5433,1357,24.98,24.29
2020-04-30,5278,1279,24.23,24.5
2020-05-01,5128,1166,22.74,24.17
2020-05-02,4636,1073,23.14,24.28
2020-05-03,5617,1129,20.1,23.42
2020-05-04,3143,699,22.24,23.29
2020-05-05,4537,1166,25.7,23.3
2020-05-06,6357,1396,21.96,22.87
2020-05-07,5048,1182,23.42,22.76
2020-05-08,6049,1324,21.89,22.64
2020-05-09,7340,1372,18.69,22
2020-05-10,7930,995,12.55,20.92
2020-05-11,3754,808,21.52,20.82
2020-05-12,5425,794,14.64,19.24
2020-05-13,6028,1054,17.49,18.6
2020-05-14,7267,1304,17.94,17.82
2020-05-15,7598,1175,15.46,16.9
2020-05-16,6335,942,14.87,16.35
2020-05-17,6706,876,13.06,16.43
2020-05-18,5757,855,14.85,15.47
2020-05-19,7535,910,12.08,15.11
2020-05-20,9592,1432,14.93,14.74
2020-05-21,6462,890,13.77,14.15
2020-05-22,8715,1191,13.67,13.89
2020-05-23,6731,959,14.25,13.8
2020-05-24,10831,973,8.98,13.22
2020-05-25,6126,633,10.33,12.57
2020-05-26,10556,1470,13.93,12.84
2020-05-27,16354,1948,11.91,12.41
2020-05-28,11719,1321,11.27,12.05
2020-05-29,10845,1153,10.63,11.62
2020-05-30,9412,867,9.21,10.9
2020-05-31,8772,711,8.11,10.77
2020-06-01,8786,769,8.75,10.54
2020-06-02,14385,941,6.54,9.49
2020-06-03,11524,904,7.84,8.91
2020-06-04,13210,1060,8.02,8.44
2020-06-05,12490,937,7.5,8
2020-06-06,9251,614,6.64,7.63
2020-06-07,8101,513,6.33,7.38
2020-06-08,8118,579,7.13,7.14
2020-06-09,8496,612,7.2,7.24
2020-06-10,11547,913,7.91,7.25
2020-06-11,9748,568,5.83,6.94
2020-06-12,10555,665,6.3,6.76
2020-06-13,8480,535,6.31,6.72
2020-06-14,8486,438,5.16,6.55
2020-06-15,10497,491,4.68,6.2
2020-06-16,15594,695,4.46,5.81
2020-06-17,8562,451,5.27,5.43
2020-06-18,8628,494,5.73,5.41
2020-06-19,11802,556,4.71,5.19
2020-06-20,9424,493,5.23,5.03
2020-06-21,7433,383,5.15,5.03
2020-06-22,10360,507,4.89,5.06
2020-06-23,8887,465,5.23,5.17
2020-06-24,11637,512,4.4,5.05
2020-06-25,9914,481,4.85,4.92
2020-06-26,10414,443,4.25,4.86
2020-06-27,7564,415,5.49,4.9
2020-06-28,12536,594,4.74,4.84
2020-06-29,8682,409,4.71,4.81
2020-06-30,9571,447,4.67,4.73
2020-07-01,13659,629,4.61,4.76
2020-07-02,15564,926,5.95,4.92
2020-07-03,12955,508,3.92,4.87
2020-07-04,9076,393,4.33,4.7
2020-07-05,10937,368,3.36,4.51
2020-07-06,9879,478,4.84,4.53
2020-07-07,11934,626,5.25,4.61
2020-07-08,15119,616,4.07,4.53
2020-07-09,13298,617,4.64,4.34
2020-07-10,12129,648,5.34,4.55
2020-07-11,21140,774,3.66,4.45
2020-07-12,11067,509,4.6,4.63
2020-07-13,15415,752,4.88,4.63
2020-07-14,21535,918,4.26,4.49
2020-07-15,16891,822,4.87,4.61
2020-07-16,24171,828,3.43,4.43
2020-07-17,18053,967,5.36,4.44
2020-07-18,28899,1107,3.83,4.46
2020-07-19,14755,722,4.89,4.5
2020-07-20,20550,985,4.79,4.49
2020-07-21,21021,891,4.24,4.49
2020-07-22,16044,860,5.36,4.56
2020-07-23,24220,1048,4.33,4.69
2020-07-24,34874,1367,3.92,4.48
2020-07-25,22045,830,3.77,4.47
2020-07-26,23400,1371,5.86,4.61
