date,zip,cases,new_cases
2020-04-11,20010,0,NA
2020-04-12,20010,0,0
2020-04-13,20010,0,0
2020-04-14,20010,0,0
2020-04-15,20010,0,0
2020-04-16,20010,0,0
2020-04-17,20010,0,0
2020-04-18,20010,0,0
2020-04-19,20010,0,0
2020-04-20,20010,0,0
2020-04-21,20010,0,0
2020-04-22,20010,0,0
2020-04-23,20010,0,0
2020-04-24,20010,0,0
2020-04-25,20010,0,0
2020-04-26,20010,0,0
2020-04-27,20010,0,0
2020-04-28,20010,0,0
2020-04-29,20010,0,0
2020-04-30,20010,0,0
2020-05-01,20010,0,0
2020-05-02,20010,0,0
2020-05-03,20010,0,0
2020-05-04,20010,0,0
2020-05-05,20010,0,0
2020-05-06,20010,0,0
2020-05-07,20010,0,0
2020-05-08,20010,0,0
2020-05-09,20010,0,0
2020-05-10,20010,0,0
2020-05-11,20010,0,0
2020-05-12,20010,0,0
2020-05-13,20010,0,0
2020-05-14,20010,0,0
2020-05-15,20010,0,0
2020-05-16,20010,0,0
2020-05-17,20010,0,0
2020-05-18,20010,0,0
2020-05-19,20010,0,0
2020-05-20,20010,0,0
2020-05-21,20010,0,0
2020-05-22,20010,0,0
2020-05-23,20010,0,0
2020-05-24,20010,0,0
2020-05-25,20010,0,0
2020-05-26,20010,0,0
2020-05-27,20010,0,0
2020-05-28,20010,0,0
2020-05-29,20010,0,0
2020-05-30,20010,0,0
2020-05-31,20010,0,0
2020-06-01,20010,0,0
2020-06-02,20010,0,0
2020-06-03,20010,0,0
2020-06-04,20010,0,0
2020-06-05,20010,0,0
2020-06-06,20010,0,0
2020-06-07,20010,0,0
2020-06-08,20010,0,0
2020-06-09,20010,0,0
2020-06-10,20010,0,0
2020-06-11,20010,0,0
2020-06-12,20010,0,0
2020-06-13,20010,0,0
2020-06-14,20010,0,0
2020-06-15,20010,0,0
2020-06-16,20010,0,0
2020-06-17,20010,0,0
2020-06-18,20010,0,0
2020-06-19,20010,0,0
2020-06-20,20010,0,0
2020-06-21,20010,0,0
2020-06-22,20010,0,0
