date,zip,cases,new_cases,population,cases_per_100k
2020-10-05,20010,0,0,34713,0
2020-10-05,20015,0,0,16395,0
2020-10-05,20037,0,0,14559,0
2020-10-05,20601,540,2,26401,2045.3770690504145
2020-10-05,20602,546,0,26078,2093.7188434695913
2020-10-05,20603,615,5,31401,1958.5363523454666
2020-10-05,20606,0,0,459,0
2020-10-05,20607,259,1,11234,2305.501157201353
2020-10-05,20608,14,0,738,1897.0189701897018
2020-10-05,20609,0,0,1135,0
2020-10-05,20611,8,0,1535,521.1726384364821
2020-10-05,20612,0,0,358,0
2020-10-05,20613,310,2,13855,2237.4594009382895
2020-10-05,20615,8,0,329,2431.61094224924
2020-10-05,20616,113,0,6106,1850.6387160170325
2020-10-05,20617,0,0,787,0
2020-10-05,20618,0,0,454,0
2020-10-05,20619,109,0,13533,805.4385575999409
2020-10-05,20620,0,0,1365,0
2020-10-05,20621,11,0,1046,1051.6252390057361
2020-10-05,20622,247,0,6301,3920.012696397397
2020-10-05,20623,60,0,2934,2044.9897750511248
2020-10-05,20624,15,0,1410,1063.8297872340424
2020-10-05,20625,0,0,615,0
2020-10-05,20626,0,0,335,0
2020-10-05,20628,0,0,279,0
2020-10-05,20629,0,0,374,0
2020-10-05,20630,0,0,377,0
2020-10-05,20632,9,1,381,2362.2047244094488
2020-10-05,20634,89,1,7334,1213.526043086992
2020-10-05,20636,82,1,11523,711.620237785299
2020-10-05,20637,67,0,5682,1179.1622668074622
2020-10-05,20639,174,0,15139,1149.3493625734857
2020-10-05,20640,127,1,10018,1267.718107406668
2020-10-05,20645,13,0,998,1302.6052104208416
2020-10-05,20646,352,0,20974,1678.2683322208447
2020-10-05,20650,154,2,14096,1092.5085130533485
2020-10-05,20653,328,0,23546,1393.0179223647328
2020-10-05,20657,224,2,18963,1181.2476928755998
2020-10-05,20658,11,0,875,1257.142857142857
2020-10-05,20659,236,0,23358,1010.3604760681565
2020-10-05,20662,31,0,2994,1035.4041416165664
2020-10-05,20664,36,0,3501,1028.2776349614396
2020-10-05,20667,0,0,701,0
2020-10-05,20670,10,0,1552,644.3298969072165
2020-10-05,20674,0,0,1059,0
2020-10-05,20675,24,0,2161,1110.5969458583988
2020-10-05,20676,24,0,4422,542.7408412483039
2020-10-05,20677,32,0,2603,1229.350749135613
2020-10-05,20678,164,0,12418,1320.6635529070704
2020-10-05,20680,0,0,745,0
2020-10-05,20684,0,0,1362,0
2020-10-05,20685,64,0,6731,950.8245431585203
2020-10-05,20687,0,0,449,0
2020-10-05,20688,21,1,1739,1207.590569292697
2020-10-05,20689,27,0,2247,1201.6021361815754
2020-10-05,20690,0,0,753,0
2020-10-05,20692,17,0,1273,1335.428122545169
2020-10-05,20693,17,0,947,1795.1425554382258
2020-10-05,20695,214,0,7924,2700.6562342251386
2020-10-05,20701,10,0,0,Inf
2020-10-05,20705,1129,2,27873,4050.5148351451226
2020-10-05,20706,1858,3,42397,4382.385546147133
2020-10-05,20707,1178,4,32556,3618.380636441823
2020-10-05,20708,930,6,27089,3433.1278378677694
2020-10-05,20710,403,1,9794,4114.764141311007
2020-10-05,20711,158,0,7085,2230.063514467184
2020-10-05,20712,320,0,9496,3369.8399326032013
2020-10-05,20714,41,0,4622,887.0618779749026
2020-10-05,20715,407,1,26768,1520.4722056186492
2020-10-05,20716,473,4,22083,2141.9191233075217
2020-10-05,20720,509,0,23502,2165.7731256914303
2020-10-05,20721,702,0,29811,2354.8354634195434
2020-10-05,20722,298,1,6022,4948.522085685819
2020-10-05,20723,671,5,35091,1912.1712119916788
2020-10-05,20724,529,4,17736,2982.6341903473162
2020-10-05,20732,107,0,9664,1107.2019867549668
2020-10-05,20733,28,0,2788,1004.3041606886657
2020-10-05,20735,1213,3,39323,3084.708694657071
2020-10-05,20736,86,1,9491,906.1215888736698
2020-10-05,20737,1267,2,21787,5815.394501308119
2020-10-05,20740,940,12,31848,2951.5197186636524
2020-10-05,20742,150,3,6719,2232.475070695044
2020-10-05,20743,1082,4,39234,2757.812101748483
2020-10-05,20744,1401,7,54453,2572.860999393973
2020-10-05,20745,937,1,28472,3290.9525147513345
2020-10-05,20746,739,1,27241,2712.8225836055944
