date,county,total_doses
2020-01-03,Montgomery,1
2020-01-04,Montgomery,1
2020-01-05,Montgomery,1
2020-01-06,Montgomery,1
2020-01-17,Montgomery,1
2020-01-22,Montgomery,1
2020-01-27,Montgomery,1
2020-01-31,Montgomery,1
2020-02-03,Montgomery,1
2020-02-04,Montgomery,1
2020-02-24,Montgomery,1
2020-03-01,Montgomery,1
2020-04-01,Montgomery,1
2020-05-01,Montgomery,1
2020-08-04,Montgomery,1
2020-08-14,Montgomery,1
2020-09-15,Montgomery,1
2020-09-16,Montgomery,1
2020-09-29,Montgomery,1
2020-10-01,Montgomery,1
2020-10-13,Montgomery,1
2020-10-17,Montgomery,1
2020-11-02,Montgomery,1
2020-11-06,Montgomery,2
2020-11-11,Montgomery,1
2020-12-01,Montgomery,2
2020-12-04,Montgomery,1
2020-12-07,Montgomery,1
2020-12-08,Montgomery,3
2020-12-11,Montgomery,1
2020-12-14,Montgomery,1
2020-12-15,Montgomery,3
2020-12-16,Montgomery,24
2020-12-17,Montgomery,66
2020-12-18,Montgomery,309
2020-12-19,Montgomery,146
2020-12-20,Montgomery,82
2020-12-21,Montgomery,446
2020-12-22,Montgomery,1024
2020-12-23,Montgomery,650
2020-12-24,Montgomery,241
2020-12-25,Montgomery,229
2020-12-26,Montgomery,119
2020-12-27,Montgomery,178
2020-12-28,Montgomery,585
2020-12-29,Montgomery,986
2020-12-30,Montgomery,1756
2020-12-31,Montgomery,1346
2021-01-01,Montgomery,267
2021-01-02,Montgomery,379
2021-01-03,Montgomery,388
2021-01-04,Montgomery,2534
2021-01-05,Montgomery,1218
2021-01-06,Montgomery,1981
2021-01-07,Montgomery,2892
2021-01-08,Montgomery,2994
2021-01-09,Montgomery,834
2021-01-10,Montgomery,698
2021-01-11,Montgomery,2136
2021-01-12,Montgomery,3386
2021-01-13,Montgomery,2689
2021-01-14,Montgomery,2432
2021-01-15,Montgomery,2828
2021-01-16,Montgomery,439
2021-01-17,Montgomery,342
2021-01-18,Montgomery,959
2021-01-19,Montgomery,2990
2021-01-20,Montgomery,3890
2021-01-21,Montgomery,3621
2021-01-22,Montgomery,5576
2021-01-23,Montgomery,2210
2021-01-24,Montgomery,842
2021-01-25,Montgomery,3474
2021-01-26,Montgomery,3987
2021-01-27,Montgomery,5119
2021-01-28,Montgomery,5183
2021-01-29,Montgomery,5155
2021-01-30,Montgomery,2933
2021-01-31,Montgomery,1180
2021-02-01,Montgomery,1418
2021-02-02,Montgomery,4962
2021-02-03,Montgomery,4591
2021-02-04,Montgomery,5908
2021-02-05,Montgomery,6687
2021-02-06,Montgomery,2261
2021-02-07,Montgomery,1208
2021-02-08,Montgomery,4946
2021-02-09,Montgomery,6164
2021-02-10,Montgomery,7098
2021-02-11,Montgomery,8426
2021-02-12,Montgomery,8207
2021-02-13,Montgomery,2427
2021-02-14,Montgomery,2198
2021-02-15,Montgomery,3932
2021-02-16,Montgomery,6358
2021-02-17,Montgomery,7953
2021-02-18,Montgomery,1241
2021-02-19,Montgomery,6435
2021-02-20,Montgomery,5115
2021-02-21,Montgomery,4558
2021-02-22,Montgomery,4660
2021-02-23,Montgomery,5339
2021-02-24,Montgomery,8179
2021-02-25,Montgomery,8916
2021-02-26,Montgomery,9445
2021-02-27,Montgomery,5656
2021-02-28,Montgomery,4762
2021-03-01,Montgomery,8043
2021-03-02,Montgomery,6724
2021-03-03,Montgomery,8023
2021-03-04,Montgomery,8222
2021-03-05,Montgomery,8462
2021-03-06,Montgomery,5847
2021-03-07,Montgomery,5677
2021-03-08,Montgomery,8873
2021-03-09,Montgomery,9159
2021-03-10,Montgomery,8818
2021-03-11,Montgomery,8442
2021-03-12,Montgomery,10157
2021-03-13,Montgomery,6494
2021-03-14,Montgomery,5831
2021-03-15,Montgomery,7649
2021-03-16,Montgomery,9540
2021-03-17,Montgomery,10210
2021-03-18,Montgomery,9159
2021-03-19,Montgomery,10557
2021-03-20,Montgomery,7650
2021-03-21,Montgomery,3778
