date,county,total_doses
2020-01-03,Montgomery,1
2020-01-04,Montgomery,2
2020-01-05,Montgomery,3
2020-01-06,Montgomery,4
2020-01-17,Montgomery,5
2020-01-22,Montgomery,6
2020-01-27,Montgomery,7
2020-01-31,Montgomery,8
2020-02-03,Montgomery,9
2020-02-04,Montgomery,10
2020-02-24,Montgomery,11
2020-03-01,Montgomery,12
2020-04-01,Montgomery,13
2020-05-01,Montgomery,14
2020-08-04,Montgomery,15
2020-08-14,Montgomery,16
2020-09-15,Montgomery,17
2020-09-16,Montgomery,18
2020-09-29,Montgomery,19
2020-10-01,Montgomery,20
2020-10-13,Montgomery,21
2020-10-17,Montgomery,22
2020-11-02,Montgomery,23
2020-11-06,Montgomery,25
2020-11-11,Montgomery,26
2020-12-01,Montgomery,28
2020-12-04,Montgomery,29
2020-12-07,Montgomery,30
2020-12-08,Montgomery,33
2020-12-11,Montgomery,34
2020-12-14,Montgomery,35
2020-12-15,Montgomery,38
2020-12-16,Montgomery,62
2020-12-17,Montgomery,128
2020-12-18,Montgomery,437
2020-12-19,Montgomery,583
2020-12-20,Montgomery,665
2020-12-21,Montgomery,1111
2020-12-22,Montgomery,2135
2020-12-23,Montgomery,2785
2020-12-24,Montgomery,3026
2020-12-25,Montgomery,3255
2020-12-26,Montgomery,3374
2020-12-27,Montgomery,3552
2020-12-28,Montgomery,4137
2020-12-29,Montgomery,5123
2020-12-30,Montgomery,6879
2020-12-31,Montgomery,8225
2021-01-01,Montgomery,8492
2021-01-02,Montgomery,8871
2021-01-03,Montgomery,9259
2021-01-04,Montgomery,11793
2021-01-05,Montgomery,13011
2021-01-06,Montgomery,14992
2021-01-07,Montgomery,17884
2021-01-08,Montgomery,20878
2021-01-09,Montgomery,21712
2021-01-10,Montgomery,22410
2021-01-11,Montgomery,24546
2021-01-12,Montgomery,27932
2021-01-13,Montgomery,30621
2021-01-14,Montgomery,33053
2021-01-15,Montgomery,35881
2021-01-16,Montgomery,36320
2021-01-17,Montgomery,36662
2021-01-18,Montgomery,37621
2021-01-19,Montgomery,40611
2021-01-20,Montgomery,44501
2021-01-21,Montgomery,48122
2021-01-22,Montgomery,53698
2021-01-23,Montgomery,55908
2021-01-24,Montgomery,56750
2021-01-25,Montgomery,60224
2021-01-26,Montgomery,64211
2021-01-27,Montgomery,69330
2021-01-28,Montgomery,74513
2021-01-29,Montgomery,79668
2021-01-30,Montgomery,82601
2021-01-31,Montgomery,83781
2021-02-01,Montgomery,85199
2021-02-02,Montgomery,90161
2021-02-03,Montgomery,94752
2021-02-04,Montgomery,100660
2021-02-05,Montgomery,107347
2021-02-06,Montgomery,109608
2021-02-07,Montgomery,110816
2021-02-08,Montgomery,115762
2021-02-09,Montgomery,121926
2021-02-10,Montgomery,129024
2021-02-11,Montgomery,137450
2021-02-12,Montgomery,145657
2021-02-13,Montgomery,148084
2021-02-14,Montgomery,150282
2021-02-15,Montgomery,154214
2021-02-16,Montgomery,160572
2021-02-17,Montgomery,168525
2021-02-18,Montgomery,169766
2021-02-19,Montgomery,176201
2021-02-20,Montgomery,181316
2021-02-21,Montgomery,185874
2021-02-22,Montgomery,190534
2021-02-23,Montgomery,195873
2021-02-24,Montgomery,204052
2021-02-25,Montgomery,212968
2021-02-26,Montgomery,222413
2021-02-27,Montgomery,228069
2021-02-28,Montgomery,232831
2021-03-01,Montgomery,240874
2021-03-02,Montgomery,247598
2021-03-03,Montgomery,255621
2021-03-04,Montgomery,263843
2021-03-05,Montgomery,272305
2021-03-06,Montgomery,278152
2021-03-07,Montgomery,283829
2021-03-08,Montgomery,292702
2021-03-09,Montgomery,301861
2021-03-10,Montgomery,310679
2021-03-11,Montgomery,319121
2021-03-12,Montgomery,329278
2021-03-13,Montgomery,335772
2021-03-14,Montgomery,341603
2021-03-15,Montgomery,349252
2021-03-16,Montgomery,358792
2021-03-17,Montgomery,369002
2021-03-18,Montgomery,378161
2021-03-19,Montgomery,388718
2021-03-20,Montgomery,396368
2021-03-21,Montgomery,400146
