fips,county,population
24001,allegany,71977
24003,anne_arundel,567696
24005,baltimore,827625
24009,calvert,91082
24011,caroline,32875
24013,carroll,167522
24015,cecil,102517
24017,charles,157671
24019,dorchester,32261
24021,frederick,248472
24023,garrett,29376
24025,harford,251025
24027,howard,315327
24029,kent,19593
24031,montgomery,1040133
24033,prince_georges,906202
24035,queen_annes,49355
24037,st_marys,111531
24039,somerset,25737
24041,talbot,37211
24043,washington,149811
24045,wicomico,102172
24047,worcester,51564
24510,baltimore_city,614700
