zip,population
00601,17242
00602,38442
00603,48814
00606,6437
00610,27073
00612,60303
00616,10765
00617,23974
00622,6578
00623,42427
00624,22707
00627,32222
00631,1568
00637,22975
00638,16701
00641,27571
00646,37494
00647,5643
00650,14760
00652,3697
00653,11140
00656,18979
00659,40390
00660,16180
00662,40290
00664,14991
00667,23590
00669,25653
00670,8498
00674,39859
00676,36995
00677,14311
00678,26091
00680,46395
00682,32359
00683,30424
00685,38039
00687,31320
00688,12202
00690,5352
00692,35840
00693,54428
00694,69
00698,36312
00703,26320
00704,8274
00705,23176
00707,10964
00714,17998
00715,2972
00716,28089
00717,16659
00718,25715
00719,29119
00720,21276
00723,17393
00725,80555
00727,54823
00728,39698
00729,51593
00730,31634
00731,12722
00735,12404
00736,47411
00738,30376
00739,36847
00740,1625
00741,4880
00745,51429
00751,21009
00754,37727
00757,22066
00765,8607
00766,23201
00767,34166
00769,39121
00771,37165
00772,20055
00773,18547
00775,1299
00777,39994
00778,46675
00780,11653
00782,18229
00783,33372
00784,40685
00786,348
00791,48569
00794,28755
00795,44766
00901,6536
00906,184
00907,16202
00909,4989
00911,7242
00912,5455
00913,8406
00915,26131
00917,18212
00918,16063
00920,16809
00921,33394
00923,24028
00924,49508
00925,6924
00926,96530
00927,13351
00934,79
00936,812
00949,73891
00950,0
00951,0
00952,8156
00953,71891
00956,65355
00957,38915
00959,47459
00960,2221
00961,30784
00962,19593
00965,7314
00966,15710
00968,3554
00969,42525
00971,26640
00976,58893
00979,15897
00982,14241
00983,34798
00985,31845
00987,57181
01001,17621
01002,30066
01003,11238
01005,4991
01007,14967
01008,1197
01009,249
01010,3739
01011,1448
01012,560
01013,23065
01020,30097
01022,2499
01026,954
01027,17848
01028,16200
01029,651
01030,11123
01031,1197
01032,533
01033,6333
01034,2179
01035,5310
01036,5191
01037,798
01038,2867
01039,1042
01040,40376
01050,2422
01053,1702
01054,1983
01056,21336
01057,8745
01060,15779
01062,10495
01063,592
01066,9
01068,1840
01069,8698
01070,604
01071,1270
01072,1536
01073,6140
01074,548
01075,17763
01077,9727
01079,658
01080,2802
01081,1941
01082,10586
01083,2986
01084,174
01085,41942
01086,372
01088,416
01089,28666
01092,1425
01093,283
01094,282
01095,14690
01096,2695
01097,59
01098,1196
01103,2389
01104,23876
01105,11957
01106,16022
01107,11582
01108,27850
01109,29903
01118,14980
01119,13626
01128,2672
01129,6762
01151,8807
01199,0
01201,44607
01220,8209
01222,810
01223,2402
01224,210
01225,3135
01226,6782
01229,70
01230,8542
01235,2640
01236,1140
01237,2580
01238,5903
01240,4441
01242,471
01243,257
01244,74
01245,809
01247,15573
01253,672
01254,1014
01255,972
01256,719
01257,2003
01258,489
01259,528
01260,481
01262,1066
01264,196
01266,1369
01267,7955
01270,770
01301,17713
01330,1367
01331,13383
01337,2498
01338,127
01339,1428
01340,1808
01341,1836
01342,1439
01343,45
01344,1459
01346,427
01347,175
01349,1292
01350,91
01351,2099
01354,1608
01355,949
01360,2997
01364,7785
01366,1269
01367,595
01368,1170
01370,4041
01373,4634
01375,3659
01376,5123
01378,773
01379,830
01420,40737
01430,6253
01431,3215
01432,7762
01434,1875
01436,3392
01438,711
01440,20555
01450,11301
01451,4625
01452,4642
01453,41579
01460,9935
01462,11271
01463,12083
01464,7598
01467,363
01468,4024
01469,7632
01473,7665
01474,1823
01475,10798
01501,16549
01503,3144
01504,9246
01505,4581
01506,3431
01507,13482
01510,13899
01515,2159
01516,8794
01518,3919
01519,6741
01520,15645
01521,2539
01522,3176
01523,7749
01524,6902
01525,400
01527,13630
01529,3242
01531,1298
01532,14985
01534,6311
01535,4764
01536,7786
01537,2289
01540,11484
01541,3443
01542,2314
01543,8586
01545,36666
01550,16894
01560,4401
01561,294
01562,11913
01564,8052
01566,5618
01568,7762
01569,13939
01570,16971
01571,11682
01581,18982
01583,7676
01585,4574
01588,9775
01590,9385
01602,23854
01603,19336
01604,37468
01605,28820
01606,19729
01607,8583
01608,3639
01609,21142
01610,23040
01611,2241
01612,4870
01701,32570
01702,39149
01718,813
01719,5794
01720,22684
01721,17576
01730,14053
01731,2061
01740,5236
01741,5186
01742,19350
01745,588
01746,14634
01747,5951
01748,17178
01749,19868
01752,39776
01754,10600
01756,6068
01757,28862
01760,35763
01770,4301
01772,9486
01773,4775
01775,7098
01776,18940
01778,13970
01801,40350
01803,27059
01810,35609
01821,33016
01824,25955
01826,31101
01827,3345
01830,26695
01832,23419
01833,8649
01834,6749
01835,13166
01840,5560
01841,48827
01843,25454
01844,50019
01845,30589
01850,16267
01851,30574
01852,34939
01854,29561
01860,6839
01862,10223
01863,9131
01864,15642
01867,25048
01876,30807
01879,12345
01880,26648
01886,24194
01887,23658
01890,22677
01901,1759
01902,49172
01904,17142
01905,25465
01906,28165
01907,14950
01908,3495
01913,17378
01915,41731
01921,8270
01922,3276
01923,27457
01929,3713
01930,30049
01937,174
01938,13901
01940,13484
01944,5370
01945,20488
01949,9779
01950,17990
01951,3755
01952,9227
01960,52564
01966,7212
01969,6298
01970,43155
01982,8020
01983,6551
01984,5208
01985,4581
02019,17016
02021,23134
02025,8449
02026,25360
02030,5987
02032,4455
02035,17535
02038,33022
02043,23298
02045,10424
02047,92
02048,23761
02050,26152
02052,12748
02053,13244
02054,8202
02056,11317
02061,10987
02062,29201
02066,18101
02067,18377
02071,1696
02072,28534
02081,19378
02090,15880
02093,11734
02108,4082
02109,3853
02110,2449
02111,7926
02113,7531
02114,13516
02115,29108
02116,23118
02118,27830
02119,28199
02120,14928
02121,29919
02122,25059
02124,55821
02125,34358
02126,29591
02127,36898
02128,46927
02129,19414
02130,40377
02131,33771
02132,28487
02134,19424
02135,44760
02136,34223
02138,38835
02139,38272
02140,21338
02141,14052
02142,3294
02143,26151
02144,25277
02145,26868
02148,61354
02149,45596
02150,39842
02151,53976
02152,18535
02155,59793
02163,2401
02169,56584
02170,19367
02171,18170
02176,28116
02180,22144
02184,37207
02186,27568
02188,15287
02189,15603
02190,17196
02191,8298
02199,1149
02203,25
02210,3196
02215,25619
02301,62929
02302,32497
02322,4482
02324,27397
02330,11661
02332,15703
02333,14386
02338,7824
02339,14397
02341,10668
02343,10728
02346,24463
02347,11335
02351,16330
02356,12962
02357,1126
02359,18304
02360,59133
02364,13381
02366,198
02367,2945
02368,34232
02370,17909
02375,10218
02379,7165
02382,14961
02420,14496
02421,18984
02445,21324
02446,29834
02451,18699
02452,15288
02453,28877
02457,1715
02458,12522
02459,19463
02460,9754
02461,7404
02462,1420
02464,3103
02465,11964
02466,8761
02467,21864
02468,5688
02472,35387
02474,28333
02476,16814
02478,26033
02481,16447
02482,11039
02492,20258
02493,12067
02494,10477
02532,13238
02534,741
02535,1463
02536,19370
02537,6535
02538,3652
02539,4306
02540,8389
02542,909
02543,745
02553,97
02554,10842
02556,2681
02557,4686
02558,1146
02559,4059
02561,301
02562,3052
02563,9573
02564,247
02568,4103
02571,10927
02575,2707
02576,4467
02584,12
02601,15215
02630,2064
02631,9773
02632,10043
02633,4175
02635,3131
02637,167
02638,3117
02639,3160
02641,200
02642,4893
02643,0
02644,4340
02645,9487
02646,1868
02647,90
02648,6638
02649,14101
02650,845
02651,0
02652,761
02653,5852
02655,3393
02657,2960
02659,1024
02660,6257
02663,94
02664,8850
02666,493
02667,3387
02668,2723
02669,111
02670,1202
02671,877
02672,281
02673,8484
02675,6616
02702,4366
02703,44548
02713,40
02715,3519
02717,4885
02718,6383
02719,16026
02720,30699
02721,26268
02723,14279
02724,17686
02725,2421
02726,15786
02738,5100
02739,6294
02740,43604
02743,10483
02744,11036
02745,24622
02746,15552
02747,23512
02748,11313
02760,27345
02762,9088
02763,1771
02764,4238
02766,19634
02767,14326
02769,12082
02770,5245
02771,15210
02777,16276
02779,6679
02780,50264
02790,15694
02791,331
02802,671
02804,2004
02806,16192
02807,827
02808,2565
02809,22258
02812,1208
02813,7780
02814,7673
02815,208
02816,32825
02817,6033
02818,18190
02822,6581
02825,5500
02826,501
02827,2060
02828,7863
02830,5935
02831,3501
02832,4320
02833,1144
02835,5496
02836,187
02837,3505
02838,3519
02839,2062
02840,23211
02841,1632
02842,15997
02852,22031
02857,8733
02858,728
02859,7227
02860,47127
02861,25044
02863,19346
02864,34624
02865,17448
02871,17140
02872,278
02873,190
02874,5960
02875,546
02876,291
02878,15816
02879,20524
02881,7836
02882,13951
02885,10464
02886,29007
02888,19167
02889,27333
02891,21085
02892,5186
02893,29153
02894,674
02895,41539
02896,12058
02898,1643
02903,10542
02904,30522
02905,25488
02906,28196
02907,30781
02908,37549
02909,40572
02910,22143
02911,15864
02912,1360
02914,21605
02915,16646
02916,9075
02917,13803
02919,29254
02920,37199
02921,12415
03031,11393
03032,5385
03033,5298
03034,4033
03036,5039
03037,4355
03038,33826
03042,6919
03043,1673
03044,4649
03045,13678
03046,2811
03047,1765
03048,3504
03049,7880
03051,25328
03052,8395
03053,25270
03054,25815
03055,15486
03057,2533
03060,29586
03062,27938
03063,16781
03064,14301
03070,5621
03071,5316
03076,13596
03077,10389
03079,29133
03082,1670
03084,1307
03086,3788
03087,14508
03101,2701
03102,32564
03103,37641
03104,32603
03106,14203
03109,10550
03110,22388
03215,183
03216,2548
03217,2142
03218,872
03220,7453
03221,2190
03222,5855
03223,3383
03224,2335
03225,3670
03226,995
03227,979
03229,5670
03230,1280
03231,251
03233,101
03234,4713
03235,8698
03237,2433
03238,125
03240,1220
03241,752
03242,4950
03243,931
03244,7892
03245,2180
03246,16324
03249,7157
03251,1229
03253,6322
03254,4095
03255,1961
03256,2333
03257,4696
03258,2664
03259,336
03260,736
03261,4343
03262,899
03263,4084
03264,7307
03266,2209
03268,1134
03269,2976
03273,398
03275,11542
03276,8263
03278,2948
03279,852
03280,1164
03281,9011
03282,871
03284,843
03285,2502
03287,1566
03290,4860
03291,106
03293,195
03301,33004
03303,15834
03304,7837
03307,5488
03431,25463
03440,3015
03441,185
03442,1407
03443,552
03444,1479
03445,765
03446,5940
03447,2395
03448,738
03449,1785
03450,921
03451,3966
03452,5307
03455,2295
03456,813
03457,796
03458,6904
03461,6106
03462,1345
03464,1054
03465,2015
03466,1698
03467,1685
03470,5126
03561,5931
03570,10382
03574,2568
03575,80
03576,2807
03579,344
03580,1306
03581,3080
03582,2459
03583,941
03584,3686
03585,2666
03586,629
03588,1580
03590,940
03592,1060
03593,422
03595,660
03597,435
03598,3231
03601,390
03602,2568
03603,5290
03604,269
03605,911
03607,440
03608,2926
03609,680
03740,656
03741,4033
03743,13676
03745,1546
03746,267
03748,4864
03750,879
03751,583
03752,772
03753,2874
03754,267
03755,10885
03765,471
03766,9392
03768,1682
03770,513
03771,927
03773,7658
03774,2115
03777,1507
03779,807
03780,536
03781,1902
03782,3006
03784,4004
03785,2240
03801,22576
03809,3660
03810,1720
03811,6897
03812,577
03813,2702
03814,2353
03816,1536
03817,765
03818,3948
03819,4498
03820,31367
03823,1816
03824,16440
03825,9201
03826,2309
03827,3171
03830,2095
03832,323
03833,22096
03835,6884
03836,1353
03837,1305
03838,1184
03839,3938
03840,3941
03841,6437
03842,15412
03844,2344
03845,1056
03846,966
03847,337
03848,6190
03849,1462
03850,275
03851,4072
03852,571
03853,538
03854,780
03855,2699
03856,1670
03857,9064
03858,4886
03860,4395
03861,4424
03862,4465
03864,1801
03865,7677
03867,21519
03868,5204
03869,2479
03870,5319
03871,115
03872,3301
03873,6194
03874,8868
03875,1067
03878,11959
03882,1537
03883,117
03884,3896
03885,7387
03886,2070
03887,2097
03890,149
03894,6212
03901,7620
03902,2593
03903,6484
03904,7860
03905,1866
03906,4712
03907,1163
03908,7420
03909,9997
03910,294
03911,52
04001,2565
04002,7530
04003,324
04005,23345
04006,154
04008,2844
04009,5306
04010,1410
04011,20534
04015,3824
04017,415
04019,23
04020,1278
04021,6483
04022,1257
04024,563
04027,6230
04029,1598
04030,2654
04032,8387
04037,3814
04038,17307
04039,7562
04040,3191
04041,1739
04042,4553
04043,11343
04046,7818
04047,1899
04048,3005
04049,3727
04050,282
04051,1071
04055,3920
04056,345
04057,63
04061,2978
04062,18270
04063,482
04064,8327
04066,687
04068,1548
04069,1677
04071,5152
04072,19342
04073,16302
04074,19713
04076,2710
04079,3868
04083,4665
04084,7766
04085,2307
04086,8763
04087,2171
04088,1363
04090,10235
04091,907
04092,18417
04093,8202
04095,1181
04096,8501
04097,3766
04101,17252
04102,17494
04103,30970
04105,11806
04106,25823
04107,9102
04108,896
04109,100
04110,1372
04210,23064
04216,371
04217,3279
04219,1640
04220,3085
04221,928
04222,3931
04224,2493
04226,197
04227,130
04228,0
04231,279
04234,63
04236,4362
04237,175
04238,1775
04239,4659
04240,36097
04250,4050
04252,4846
04253,2082
04254,3143
04255,625
04256,2935
04257,2617
04258,2580
04259,3208
04260,5723
04261,402
04263,2233
04265,1022
04267,62
04268,4969
04270,6274
04271,0
04274,5605
04275,374
04276,5705
04280,6744
04281,5131
04282,5772
04284,974
04285,369
04286,50
04287,3235
04289,2259
04290,1443
04292,1034
04294,4005
04330,25687
04342,1891
04343,16
04344,2916
04345,11440
04346,1996
04347,2506
04348,2981
04349,1049
04350,3622
04351,2547
